lon,lat,INCNUM
-86.10948119999999,39.7942266,40937
-86.08512460000001,39.6612506,41064
-86.0114189,39.8351595,41486
-86.1334656,39.7990644,41170
-86.0637205,39.7977642,41300
-86.2038996,39.7825046,41524
-86.1556894,39.7067632,41632
-85.9835639,39.7822973,41403
-86.318561,39.647886,41570
-86.2141424,39.8220885,41674
-86.1477903,39.9029674,41730
-86.0919661,39.7693932,41713
-86.1023112,39.7368853,41744
-86.1314672,39.8616533,41766
-86.1311339,39.8107339,41769
-86.2626404,39.7682955,41782
-86.10944959999999,39.7649787,41915
-86.1139199,39.7815192,40046
-86.2488868,39.7491883,41079
-86.1437945,39.8765056,41319
-86.12562059999999,39.8281067,41342
-86.09031829999999,39.7581678,41470
-86.1351914,39.7576075,41654
-86.10814839999999,39.8005718,40317
-85.9667752,39.8227474,41875
-86.1211652,39.8248465,41885
-86.1142292,39.7061416,41934
-86.19529840000001,39.7494585,42125
-86.112974,39.8209715,42282
-86.11616819999999,39.7834556,42319
-86.27810819999999,39.8251968,42113
-86.2281823,39.7766969,42130
-86.23859639999999,39.8769656,40871
-86.2806461,39.8293733,41023
-86.1588987,39.7658962,42288
-86.2991885,39.7722229,42320
-86.29716909999999,39.7767007,42327
-86.123311,39.813391,42395
-86.1417603,39.7539219,42375
-85.965557,39.8011031,42432
-86.2679199,39.7752335,42524
-86.262778,39.766473,41521
-86.2807141,39.8467651,41543
-86.1497495,39.7740744,42773
-85.97681399999999,39.640618,42791
-86.18461239999999,39.6597604,42061
-86.0583151,39.9122158,42147
-86.2026065,39.7550033,42184
-86.099549,39.77621,42329
-86.1464077,39.7152853,42337
-86.10682299999999,39.844007,42408
-86.1121153,39.7300444,42419
-86.065907,39.7855149,42487
-86.25096909999999,39.7685723,42677
-86.26350269999999,39.8185678,42854
-86.1891717,39.9033156,42368
-86.218538,39.821972,42876
-86.294012,39.7762566,43076
-86.0180792,39.7649516,42742
-85.9937209,39.8014451,43038
-86.1534126,39.7884088,38698
-86.11130899999999,39.819533,39505
-86.1106085,39.7795901,41702
-86.221418,39.7599466,39013
-86.11939,39.829257,41590
-86.1241661,39.8532384,42823
-86.143147,39.7382539,38590
-86.17687649999999,39.8163473,38689
-86.08358129999999,39.7587149,38693
-86.04730409999999,39.79730319999999,38764
-86.2735895,39.6947244,38800
-86.31725229999999,39.77190840000001,39169
-86.2155916,39.72760419999999,39246
-86.101445,39.852168,39506
-86.1121352,39.7817531,38872
-86.0968564,39.9097372,39123
-86.1999455,39.77641759999999,39593
-86.11631729999999,39.7888256,39644
-86.1033817,39.7712547,39691
-86.1580467,39.8506767,39734
-86.12431959999999,39.8247683,39808
-86.2159295,39.7951179,39908
-86.12082749999999,39.8676581,39943
-86.04223900000001,39.8239982,40018
-86.3112299,39.7356207,38535
-86.058407,39.7997785,38583
-73.9712488,40.7830603,38641
-86.1260758,39.74608629999999,39162
-86.1512111,39.7685946,39352
-86.0933544,39.7785293,39562
-86.1162727,39.789002,39597
-86.182467,39.70975079999999,39345
-86.0916439,39.7814687,39831
-86.24990489999999,39.7361742,41392
-86.1937493,39.7643602,40131
-86.1595174,39.7674752,40260
-86.039934,39.7733917,38422
-86.1040084,39.8167553,39087
-86.0643707,39.7680129,39652
-86.1619619,39.8528728,40297
-86.1922994,39.9253609,39942
-86.322552,39.783265,40042
-86.11457419999999,39.793656,40126
-86.11918999999999,39.7580377,40333
